track_name,artists_names,principal_artist_name,artist_genres,popularity,year,danceability,energy,valence,acousticness,instrumentalness,speechiness,tempo,loudness,duration_min,genre_label,cluster
Paul Revere,Beastie Boys,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,61,1986,0.883,0.553,0.578,0.0161,0.0,0.944,91.753,-13.232,3.680666666666667,Hip Hop,1
Brass Monkey,Beastie Boys,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,68,1986,0.914,0.586,0.655,0.00203,1.58e-06,0.33,116.371,-8.435,2.624,Hip Hop,1
Take Me Home Tonight,Eddie Money,Eddie Money,album rock;classic rock;country rock;glam metal;hard rock;mellow gold;soft rock;southern rock,72,1986,0.608,0.768,0.748,0.101,1.41e-06,0.0364,132.699,-9.911,3.519333333333333,Country,2
Push It,Salt-N-Pepa,Salt-N-Pepa,girl group;golden age hip hop;hip hop;hip pop;old school hip hop;queens hip hop,71,1986,0.913,0.596,0.973,0.00658,0.00349,0.0707,127.215,-12.477,4.53555,Hip Hop,1
Diggin' Up Bones,Randy Travis,Randy Travis,contemporary country;country;country gospel;country road,64,1986,0.708,0.577,0.836,0.377,0.0,0.0261,85.667,-8.229,2.982883333333334,Country,1
Girls,Beastie Boys,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,62,1986,0.873,0.808,0.933,0.777,0.0,0.0466,139.676,-6.729,2.211766666666667,Hip Hop,1
Fight For Your Right,Beastie Boys,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,73,1986,0.503,0.858,0.419,0.00757,0.00234,0.0657,133.615,-6.296,3.47755,Hip Hop,2
No Sleep Till Brooklyn,Beastie Boys,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,75,1986,0.712,0.691,0.742,0.122,0.0,0.128,97.022,-8.157,4.11555,Hip Hop,1
It's Tricky,Run–D.M.C.,Run–D.M.C.,east coast hip hop;golden age hip hop;hip hop;old school hip hop;queens hip hop;rap,72,1986,0.965,0.857,0.951,0.00131,0.0,0.17,127.656,-8.458,3.062666666666667,Hip Hop,1
Keep Your Hands to Yourself,The Georgia Satellites,The Georgia Satellites,album rock;classic rock;country rock;hard rock;heartland rock;southern rock,66,1986,0.577,0.807,0.891,0.00233,0.000257,0.0449,114.921,-9.281,3.416666666666667,Country,2
Walk This Way (feat. Aerosmith),Run–D.M.C.;Aerosmith,Run–D.M.C.,east coast hip hop;golden age hip hop;hip hop;old school hip hop;queens hip hop;rap,71,1986,0.761,0.711,0.947,0.0174,0.000101,0.0604,105.448,-7.989,5.1731,Hip Hop,1
Guitar Town,Steve Earle,Steve Earle,alternative country;classic texas country;country rock;folk;heartland rock;outlaw country;roots rock;singer-songwriter,63,1986,0.661,0.496,0.948,0.229,0.0,0.0357,165.549,-15.53,2.587766666666667,Country,0
I'm No Angel,The Gregg Allman Band,The Gregg Allman Band,album rock;blues rock;classic rock;country rock;heartland rock;mellow gold;singer-songwriter;soft rock;southern rock,55,1986,0.621,0.773,0.856,0.144,0.0,0.0475,140.748,-12.157,3.714883333333333,Country,2
Country State Of Mind,"Hank Williams, Jr.","Hank Williams, Jr.",country;country rock;outlaw country,57,1986,0.711,0.626,0.65,0.00592,0.0,0.0268,117.661,-8.992,3.964433333333333,Country,2
On the Other Hand,Randy Travis,Randy Travis,contemporary country;country;country gospel;country road,60,1986,0.657,0.415,0.347,0.175,5.65e-06,0.025,96.03,-9.915,3.105766666666667,Country,0
On My Own,Patti LaBelle,Patti LaBelle,contemporary r&b;philly soul;quiet storm;r&b;soul;urban contemporary,63,1986,0.62,0.402,0.483,0.337,6.13e-05,0.0264,92.093,-12.964,4.847333333333333,R&B,0
When I Think Of You,Janet Jackson,Janet Jackson,dance pop;r&b;urban contemporary,58,1986,0.759,0.639,0.706,0.084,0.0331,0.0425,116.207,-11.386,3.924883333333333,R&B,1
Rhymin & Stealin,Beastie Boys,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,56,1986,0.513,0.964,0.348,0.0361,2.91e-06,0.103,152.209,-5.773,4.14,Hip Hop,2
Your Wildest Dreams,The Moody Blues,The Moody Blues,album rock;art rock;british invasion;classic rock;country rock;flute rock;folk rock;heartland rock;mellow gold;progressive rock;rock;singer-songwriter;soft rock;symphonic rock,57,1986,0.534,0.582,0.653,0.289,0.0338,0.0374,141.362,-15.997,4.85,Country,0
Nasty,Janet Jackson,Janet Jackson,dance pop;r&b;urban contemporary,54,1986,0.839,0.89,0.575,0.452,0.0224,0.0628,103.652,-11.697,4.052216666666666,R&B,1
Fool's Paradise,Meli'sa Morgan,Meli'sa Morgan,contemporary r&b;new jack swing;post-disco;quiet storm;urban contemporary,53,1986,0.748,0.499,0.845,0.127,0.000107,0.0648,100.262,-14.177,5.012216666666666,R&B,1
The New Style,Beastie Boys,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,53,1986,0.583,0.791,0.685,0.0282,0.0,0.45,98.673,-7.191,4.592433333333333,Hip Hop,1
Peter Piper,Run–D.M.C.,Run–D.M.C.,east coast hip hop;golden age hip hop;hip hop;old school hip hop;queens hip hop;rap,56,1986,0.873,0.62,0.574,0.0113,0.000121,0.293,105.332,-8.812,3.402216666666666,Hip Hop,1
Midas Touch,Midnight Star,Midnight Star,contemporary r&b;disco;funk;motown;new jack swing;post-disco;quiet storm;soul;urban contemporary,51,1986,0.882,0.735,0.811,0.0125,0.0067,0.0547,117.012,-6.886,4.948216666666666,R&B,1
Lost In The Fifties Tonight,Ronnie Milsap,Ronnie Milsap,classic country pop;country;country rock;nashville sound,54,1986,0.492,0.216,0.145,0.639,6.53e-05,0.0283,168.817,-16.121,4.305766666666667,Country,0
She's Crafty,Beastie Boys,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,52,1986,0.811,0.851,0.699,0.0135,8.13e-06,0.17,96.761,-7.174,3.58555,Hip Hop,1
I Wanna Go Back,Eddie Money,Eddie Money,album rock;classic rock;country rock;glam metal;hard rock;mellow gold;soft rock;southern rock,52,1986,0.61,0.734,0.701,0.237,6.02e-05,0.034,111.698,-9.862,3.924883333333333,Country,2
Like A Rock,Bob Seger,Bob Seger,album rock;classic rock;country rock;detroit rock;hard rock;heartland rock;mellow gold;rock;singer-songwriter;soft rock,56,1986,0.399,0.645,0.384,0.112,0.000551,0.0271,82.795,-5.356,5.929966666666667,Country,2
Werewolves of London,Warren Zevon,Warren Zevon,country rock;folk;folk rock;heartland rock;piano rock;roots rock;singer-songwriter,57,1986,0.749,0.614,0.878,0.0372,0.00286,0.0264,103.868,-10.594,3.46955,Country,1
Nobody In His Right Mind Would've Left Her,George Strait,George Strait,contemporary country;country;country road,53,1986,0.616,0.342,0.544,0.154,0.0,0.0282,60.508,-15.828,2.874883333333333,Country,0
1982,Randy Travis,Randy Travis,contemporary country;country;country gospel;country road,54,1986,0.614,0.53,0.58,0.0986,1.9e-06,0.0254,108.051,-8.129,2.988433333333333,Country,2
Let's Wait Awhile,Janet Jackson,Janet Jackson,dance pop;r&b;urban contemporary,55,1986,0.592,0.2,0.382,0.823,0.0,0.0344,172.647,-16.392,4.623333333333333,R&B,0
Funny How Time Flies (When You're Having Fun),Janet Jackson,Janet Jackson,dance pop;r&b;urban contemporary,50,1986,0.701,0.119,0.236,0.542,0.00222,0.0398,77.195,-19.145,4.474433333333334,R&B,0
Little Rock,Reba McEntire,Reba McEntire,classic oklahoma country;contemporary country;country;country dawn;country road,50,1986,0.662,0.466,0.831,0.38,5.71e-06,0.0365,140.137,-14.705,3.117766666666667,Country,0
One Promise Too Late,Reba McEntire,Reba McEntire,classic oklahoma country;contemporary country;country;country dawn;country road,51,1986,0.644,0.304,0.68,0.449,0.0,0.0363,79.099,-15.664,3.4311,Country,0
